sample-id	Barcode-sequence	LinkerPrimerSequence	InputFileName	Description	SampleName	Number	Province	Location	Plant 	SampleType	Site	DateCollected	Colony	DNANg 
A67	N/A	N/A	A67_9_L001_R1_001.fastq.gz	BCC_16S_R1_67	BCFV2-WF-3F	67	BC	Fraser Valley	Wild forage	Forager	2	12-May-21	3	43.4
A68	N/A	N/A	A68_9_L001_R1_001.fastq.gz	BCC_16S_R1_68	BCFV2-WF-4F	68	BC	Fraser Valley	Wild forage	Forager	2	12-May-21	4	66.5
A69	N/A	N/A	A69_9_L001_R1_001.fastq.gz	BCC_16S_R1_69	BCCV1-AP-1H	69	BC	Creston Valley	Apple	Hive	1	Spring 2021	1	189
A70	N/A	N/A	A70_9_L001_R1_001.fastq.gz	BCC_16S_R1_70	BCCV1-AP-2H	70	BC	Creston Valley	Apple	Hive	1	Spring 2021	2	123
A71	N/A	N/A	A71_9_L001_R1_001.fastq.gz	BCC_16S_R1_71	BCCV1-AP-3H	71	BC	Creston Valley	Apple	Hive	1	Spring 2021	3	149
A72	N/A	N/A	A72_9_L001_R1_001.fastq.gz	BCC_16S_R1_72	BCCV2-AP-1H	72	BC	Creston Valley	Apple	Hive	2	Spring 2021	1	192
A73	N/A	N/A	A73_9_L001_R1_001.fastq.gz	BCC_16S_R1_73	BCCV2-AP-2H	73	BC	Creston Valley	Apple	Hive	2	Spring 2021	2	160
A74	N/A	N/A	A74_9_L001_R1_001.fastq.gz	BCC_16S_R1_74	BCCV2-AP-3H	74	BC	Creston Valley	Apple	Hive	2	Spring 2021	3	118
A75	N/A	N/A	A75_9_L001_R1_001.fastq.gz	BCC_16S_R1_75	BCCV3-AP-1H	75	BC	Creston Valley	Apple	Hive	3	Spring 2021	1	93.3
A76	N/A	N/A	A76_9_L001_R1_001.fastq.gz	BCC_16S_R1_76	BCCV3-AP-2H	76	BC	Creston Valley	Apple	Hive	3	Spring 2021	2	191
A77	N/A	N/A	A77_9_L001_R1_001.fastq.gz	BCC_16S_R1_77	BCCV3-AP-3H	77	BC	Creston Valley	Apple	Hive	3	Spring 2021	3	135
A78	N/A	N/A	A78_9_L001_R1_001.fastq.gz	BCC_16S_R1_78	BCFV1-BB-1H	78	BC	Fraser Valley	Blueberry	Hive	1	12-May-21	1	170
A79	N/A	N/A	A79_9_L001_R1_001.fastq.gz	BCC_16S_R1_79	BCFV1-BB-2H	79	BC	Fraser Valley	Blueberry	Hive	1	12-May-21	2	181
A80	N/A	N/A	A80_9_L001_R1_001.fastq.gz	BCC_16S_R1_80	BCFV1-BB-3H	80	BC	Fraser Valley	Blueberry	Hive	1	12-May-21	3	185
A81	N/A	N/A	A81_9_L001_R1_001.fastq.gz	BCC_16S_R1_81	BCFV1-BB-4H	81	BC	Fraser Valley	Blueberry	Hive	1	12-May-21	4	194
A82	N/A	N/A	A82_9_L001_R1_001.fastq.gz	BCC_16S_R1_82	BCFV2-BB-1H	82	BC	Fraser Valley	Blueberry	Hive	2	12-May-21	1	143
A83	N/A	N/A	A83_9_L001_R1_001.fastq.gz	BCC_16S_R1_83	BCFV2-BB-2H	83	BC	Fraser Valley	Blueberry	Hive	2	12-May-21	2	143
A84	N/A	N/A	A84_9_L001_R1_001.fastq.gz	BCC_16S_R1_84	BCFV2-BB-3H	84	BC	Fraser Valley	Blueberry	Hive	2	12-May-21	3	129
A85	N/A	N/A	A85_9_L001_R1_001.fastq.gz	BCC_16S_R1_85	BCFV2-BB-4H	85	BC	Fraser Valley	Blueberry	Hive	2	12-May-21	4	125
A86	N/A	N/A	A86_9_L001_R1_001.fastq.gz	BCC_16S_R1_86	BCCV1-CH-1H	86	BC	Creston Valley	Cherry	Hive	1	Spring 2021	1	88.7
A87	N/A	N/A	A87_9_L001_R1_001.fastq.gz	BCC_16S_R1_87	BCCV1-CH-2H	87	BC	Creston Valley	Cherry	Hive	1	Spring 2021	2	150
A88	N/A	N/A	A88_9_L001_R1_001.fastq.gz	BCC_16S_R1_88	BCCV1-CH-3H	88	BC	Creston Valley	Cherry	Hive	1	Spring 2021	3	127
A89	N/A	N/A	A89_9_L001_R1_001.fastq.gz	BCC_16S_R1_89	BCCV2-CH-1H	89	BC	Creston Valley	Cherry	Hive	2	Spring 2021	1	66.7
A90	N/A	N/A	A90_9_L001_R1_001.fastq.gz	BCC_16S_R1_90	BCCV2-CH-2H	90	BC	Creston Valley	Cherry	Hive	2	Spring 2021	2	103
A91	N/A	N/A	A91_9_L001_R1_001.fastq.gz	BCC_16S_R1_91	BCCV2-CH-3H	91	BC	Creston Valley	Cherry	Hive	2	Spring 2021	3	141
A92	N/A	N/A	A92_9_L001_R1_001.fastq.gz	BCC_16S_R1_92	BCCV3-CH-1H	92	BC	Creston Valley	Cherry	Hive	3	Spring 2021	1	118
A93	N/A	N/A	A93_9_L001_R1_001.fastq.gz	BCC_16S_R1_93	BCCV3-CH-2H	93	BC	Creston Valley	Cherry	Hive	3	Spring 2021	2	71.3
A94	N/A	N/A	A94_9_L001_R1_001.fastq.gz	BCC_16S_R1_94	BCCV3-CH-3H	94	BC	Creston Valley	Cherry	Hive	3	Spring 2021	3	84
A95	N/A	N/A	A95_9_L001_R1_001.fastq.gz	BCC_16S_R1_95	BCFV1-WF-1H	95	BC	Fraser Valley	Wild forage	Hive	1	12-May-21	1	184
A96	N/A	N/A	A96_9_L001_R1_001.fastq.gz	BCC_16S_R1_96	BCFV1-WF-2H	96	BC	Fraser Valley	Wild forage	Hive	1	12-May-21	2	153
B01	N/A	N/A	B01_9_L001_R1_001.fastq.gz	BCC_16S_R2_1	BCFV1-WF-3H	1	BC	Fraser Valley	Wild forage	Hive	1	12-May-21	3	181
B02	N/A	N/A	B02_9_L001_R1_001.fastq.gz	BCC_16S_R2_2	BCFV1-WF-4H	2	BC	Fraser Valley	Wild forage	Hive	1	12-May-21	4	134
B03	N/A	N/A	B03_9_L001_R1_001.fastq.gz	BCC_16S_R2_3	BCFV2-WF-1H	3	BC	Fraser Valley	Wild forage	Hive	2	12-May-21	1	121
B04	N/A	N/A	B04_9_L001_R1_001.fastq.gz	BCC_16S_R2_4	BCFV2-WF-2H	4	BC	Fraser Valley	Wild forage	Hive	2	12-May-21	2	127
B05	N/A	N/A	B05_9_L001_R1_001.fastq.gz	BCC_16S_R2_5	BCFV2-WF-3H	5	BC	Fraser Valley	Wild forage	Hive	2	12-May-21	3	137
B06	N/A	N/A	B06_9_L001_R1_001.fastq.gz	BCC_16S_R2_6	BCFV2-WF-4H	6	BC	Fraser Valley	Wild forage	Hive	2	12-May-21	4	109
B07	N/A	N/A	B07_9_L001_R1_001.fastq.gz	BCC_16S_R2_7	BCCV1-AP-1P	7	BC	Creston Valley	Apple	Pollen	1	Spring 2021	1	4.08
B08	N/A	N/A	B08_9_L001_R1_001.fastq.gz	BCC_16S_R2_8	BCCV1-AP-2P	8	BC	Creston Valley	Apple	Pollen	1	Spring 2021	2	2.2
B09	N/A	N/A	B09_9_L001_R1_001.fastq.gz	BCC_16S_R2_9	BCCV1-AP-3P	9	BC	Creston Valley	Apple	Pollen	1	Spring 2021	3	4.67
B10	N/A	N/A	B10_9_L001_R1_001.fastq.gz	BCC_16S_R2_10	BCCV2-AP-1P	10	BC	Creston Valley	Apple	Pollen	2	Spring 2021	1	2.46
B11	N/A	N/A	B11_9_L001_R1_001.fastq.gz	BCC_16S_R2_11	BCCV2-AP-2P	11	BC	Creston Valley	Apple	Pollen	2	Spring 2021	2	1.83
B12	N/A	N/A	B12_9_L001_R1_001.fastq.gz	BCC_16S_R2_12	BCCV2-AP-3P	12	BC	Creston Valley	Apple	Pollen	2	Spring 2021	3	2.58
B13	N/A	N/A	B13_9_L001_R1_001.fastq.gz	BCC_16S_R2_13	BCCV3-AP-1P	13	BC	Creston Valley	Apple	Pollen	3	Spring 2021	1	1.85
B14	N/A	N/A	B14_9_L001_R1_001.fastq.gz	BCC_16S_R2_14	BCCV3-AP-2P	14	BC	Creston Valley	Apple	Pollen	3	Spring 2021	2	7.87
B15	N/A	N/A	B15_9_L001_R1_001.fastq.gz	BCC_16S_R2_15	BCCV3-AP-3P	15	BC	Creston Valley	Apple	Pollen	3	Spring 2021	3	7.27
B16	N/A	N/A	B16_9_L001_R1_001.fastq.gz	BCC_16S_R2_16	BCFV1-BB-1P	16	BC	Fraser Valley	Blueberry	Pollen	1	14-May-21	1	1.03
B17	N/A	N/A	B17_9_L001_R1_001.fastq.gz	BCC_16S_R2_17	BCFV1-BB-2P	17	BC	Fraser Valley	Blueberry	Pollen	1	14-May-21	2	5.17
B18	N/A	N/A	B18_9_L001_R1_001.fastq.gz	BCC_16S_R2_18	BCFV1-BB-3P	18	BC	Fraser Valley	Blueberry	Pollen	1	14-May-21	3	3.65
B19	N/A	N/A	B19_9_L001_R1_001.fastq.gz	BCC_16S_R2_19	BCFV1-BB-4P	19	BC	Fraser Valley	Blueberry	Pollen	1	14-May-21	4	3.43
B20	N/A	N/A	B20_9_L001_R1_001.fastq.gz	BCC_16S_R2_20	BCFV2-BB-1P	20	BC	Fraser Valley	Blueberry	Pollen	2	14-May-21	1	5.03
B21	N/A	N/A	B21_9_L001_R1_001.fastq.gz	BCC_16S_R2_21	BCFV2-BB-2P	21	BC	Fraser Valley	Blueberry	Pollen	2	14-May-21	2	5.77
B22	N/A	N/A	B22_9_L001_R1_001.fastq.gz	BCC_16S_R2_22	BCFV2-BB-3P	22	BC	Fraser Valley	Blueberry	Pollen	2	14-May-21	3	3.32
B23	N/A	N/A	B23_9_L001_R1_001.fastq.gz	BCC_16S_R2_23	BCFV2-BB-4P	23	BC	Fraser Valley	Blueberry	Pollen	2	14-May-21	4	2.53
B24	N/A	N/A	B24_9_L001_R1_001.fastq.gz	BCC_16S_R2_24	BCCV1-CH-1P	24	BC	Creston Valley	Cherry	Pollen	1	Spring 2021	1	3.85
B25	N/A	N/A	B25_9_L001_R1_001.fastq.gz	BCC_16S_R2_25	BCCV1-CH-2P	25	BC	Creston Valley	Cherry	Pollen	1	Spring 2021	2	4.37
B26	N/A	N/A	B26_9_L001_R1_001.fastq.gz	BCC_16S_R2_26	BCCV1-CH-3P	26	BC	Creston Valley	Cherry	Pollen	1	Spring 2021	3	3.09
B27	N/A	N/A	B27_9_L001_R1_001.fastq.gz	BCC_16S_R2_27	BCCV2-CH-1P	27	BC	Creston Valley	Cherry	Pollen	2	Spring 2021	1	1.79
B28	N/A	N/A	B28_9_L001_R1_001.fastq.gz	BCC_16S_R2_28	BCCV2-CH-2P	28	BC	Creston Valley	Cherry	Pollen	2	Spring 2021	2	4.21
B29	N/A	N/A	B29_9_L001_R1_001.fastq.gz	BCC_16S_R2_29	BCCV2-CH-3P	29	BC	Creston Valley	Cherry	Pollen	3	Spring 2021	2	1.43
B30	N/A	N/A	B30_9_L001_R1_001.fastq.gz	BCC_16S_R2_30	BCCV3-CH-1P	30	BC	Creston Valley	Cherry	Pollen	1	Spring 2021	3	3.75
B31	N/A	N/A	B31_9_L001_R1_001.fastq.gz	BCC_16S_R2_31	BCCV3-CH-2P	31	BC	Creston Valley	Cherry	Pollen	2	Spring 2021	3	5.51
B32	N/A	N/A	B32_9_L001_R1_001.fastq.gz	BCC_16S_R2_32	BCCV3-CH-3P	32	BC	Creston Valley	Cherry	Pollen	3	Spring 2021	3	2.71
B33	N/A	N/A	B33_9_L001_R1_001.fastq.gz	BCC_16S_R2_33	BCFV1-WF-1P	33	BC	Fraser Valley	Wild forage	Pollen	1	14-May-21	1	1.67
B34	N/A	N/A	B34_9_L001_R1_001.fastq.gz	BCC_16S_R2_34	BCFV1-WF-2P	34	BC	Fraser Valley	Wild forage	Pollen	2	14-May-21	1	0.973
