sample-id	Barcode-sequence	LinkerPrimerSequence	InputFileName	Description	SampleName	Number	Province	Location	Plant 	SampleType	Site	DateCollected	Colony	DNANg 
C30	N/A	N/A	C30_9_L001_R1_001.fastq.gz	16S_ON_B30	ONJF1-PE-2P	86	ON	AAFC Jordan Farm	Peach	Pollen	N/A	12-May	2	82.39
C31	N/A	N/A	C31_9_L001_R1_001.fastq.gz	16S_ON_B31	ONJF1-PE-3P	87	ON	AAFC Jordan Farm	Peach	Pollen	N/A	12-May	3	714.06
C32	N/A	N/A	C32_9_L001_R1_001.fastq.gz	16S_ON_B32	ONJF1-PE-4P	88	ON	AAFC Jordan Farm	Peach	Pollen	N/A	12-May	4	105.82
C33	N/A	N/A	C33_9_L001_R1_001.fastq.gz	16S_ON_B33	ONJF1-AP-2P	89	ON	AAFC Jordan Farm	Apple	Pollen	N/A	21-May	2	62.31
C34	N/A	N/A	C34_9_L001_R1_001.fastq.gz	16S_ON_B34	ONJF1-AP-3P	90	ON	AAFC Jordan Farm	Apple	Pollen	N/A	21-May	3	83.82
C35	N/A	N/A	C35_9_L001_R1_001.fastq.gz	16S_ON_B35	ONJF1-AP-4P	91	ON	AAFC Jordan Farm	Apple	Pollen	N/A	21-May	4	27.77
C36	N/A	N/A	C36_9_L001_R1_001.fastq.gz	16S_ON_B36	ONLA2-BB-1B	92	ON	Lowbanks Blueberry knoll	Blueberry	Bread	N/A	20-May	1	54.73
C37	N/A	N/A	C37_9_L001_R1_001.fastq.gz	16S_ON_B37	ONLA2-BB-2B	93	ON	Lowbanks Blueberry knoll	Blueberry	Bread	N/A	20-May	2	16.96
C38	N/A	N/A	C38_9_L001_R1_001.fastq.gz	16S_ON_B38	ONLA2-BB-3B	94	ON	Lowbanks Blueberry knoll	Blueberry	Bread	N/A	21-May	3	20.21
C39	N/A	N/A	C39_9_L001_R1_001.fastq.gz	16S_ON_B39	ONLA2-BB-1F	95	ON	Lowbanks Blueberry knoll	Blueberry	Forager	N/A	20-May	1	32.46
C40	N/A	N/A	C40_9_L001_R1_001.fastq.gz	16S_ON_B40	ONLA2-BB-2F	96	ON	Lowbanks Blueberry knoll	Blueberry	Forager	N/A	20-May	2	30.12
C41	N/A	N/A	C41_9_L001_R1_001.fastq.gz	16S_ON_B41	ONLA2-BB-3F	97	ON	Lowbanks Blueberry knoll	Blueberry	Forager	N/A	20-May	3	21.73
C42	N/A	N/A	C42_9_L001_R1_001.fastq.gz	16S_ON_B42	ONSO2-BB-1F	98	ON	Simcoe Powells patch	Blueberry	Forager	N/A	24-May	1	65.24
C43	N/A	N/A	C43_9_L001_R1_001.fastq.gz	16S_ON_B43	ONSO2-BB-2F	99	ON	 Simcoe Powells patch	Blueberry	Forager	N/A	24-May	2	29.93
C44	N/A	N/A	C44_9_L001_R1_001.fastq.gz	16S_ON_B44	ONLA2-BB-1H	100	ON	Lowbanks Blueberry knoll	Blueberry	Hive	N/A	20-May	1	31.62
C45	N/A	N/A	C45_9_L001_R1_001.fastq.gz	16S_ON_B45	ONLA2-BB-2H	101	ON	Lowbanks Blueberry knoll	Blueberry	Hive	N/A	20-May	2	65.29
C46	N/A	N/A	C46_9_L001_R1_001.fastq.gz	16S_ON_B46	ONLA2-BB-3H	102	ON	Lowbanks Blueberry knoll	Blueberry	Hive	N/A	21-May	3	23.07
C47	N/A	N/A	C47_9_L001_R1_001.fastq.gz	16S_ON_B47	ONLA2-BB-1P	103	ON	Lowbanks Blueberry knoll	Blueberry	Pollen	N/A	20-May	1	16.64
C48	N/A	N/A	C48_9_L001_R1_001.fastq.gz	16S_ON_B48	ONLA2-BB-2P	104	ON	Lowbanks Blueberry knoll	Blueberry	Pollen	N/A	20-May	2	10.24
C49	N/A	N/A	C49_9_L001_R1_001.fastq.gz	16S_ON_B49	ONLA2-BB-3P	105	ON	Lowbanks Blueberry knoll	Blueberry	Pollen	N/A	20-May	3	24.28
C50	N/A	N/A	C50_9_L001_R1_001.fastq.gz	16S_ON_B50	ONWF1-AP-1B	106	ON	Vineland Warner Farms	Apple	Bread	N/A	13-May	1	60.93
C51	N/A	N/A	C51_9_L001_R1_001.fastq.gz	16S_ON_B51	ONWF1-AP-2B	107	ON	Vineland Warner Farms	Apple	Bread	N/A	13-May	2	28.25
C52	N/A	N/A	C52_9_L001_R1_001.fastq.gz	16S_ON_B52	ONWF1-AP-3B	108	ON	Vineland Warner Farms	Apple	Bread	N/A	13-May	3	48.29
C53	N/A	N/A	C53_9_L001_R1_001.fastq.gz	16S_ON_B53	ONKB1-AP-1F	109	ON	Kinburn	Apple	Forager	N/A	19-May	1	20.38
C54	N/A	N/A	C54_9_L001_R1_001.fastq.gz	16S_ON_B54	ONKB1-AP-2F	110	ON	Kinburn	Apple	Forager	N/A	19-May	2	19.84
C55	N/A	N/A	C55_9_L001_R1_001.fastq.gz	16S_ON_B55	ONKB1-AP-3F	111	ON	Kinburn	Apple	Forager	N/A	19-May	3	37.56
C56	N/A	N/A	C56_9_L001_R1_001.fastq.gz	16S_ON_B56	ONVWF-AP-1F	112	ON	Vineland Warner Farms	Apple	Forager	N/A	13-May	1	80.63
C57	N/A	N/A	C57_9_L001_R1_001.fastq.gz	16S_ON_B57	ONWF2-AP-2F	113	ON	Vineland Warner Farms	Apple	Forager	N/A	13-May	2	31.94
C58	N/A	N/A	C58_9_L001_R1_001.fastq.gz	16S_ON_B58	ONWF2-AP-3F	114	ON	Vineland Warner Farms	Apple	Forager	N/A	13-May	3	10.83
C59	N/A	N/A	C59_9_L001_R1_001.fastq.gz	16S_ON_B59	ONKB1-AP-1H	115	ON	Kinburn	Apple	Hive	N/A	19-May	1	8.74
C60	N/A	N/A	C60_9_L001_R1_001.fastq.gz	16S_ON_B60	ONKB1-AP-2H	116	ON	Kinburn	Apple	Hive	N/A	19-May	2	54.93
C61	N/A	N/A	C61_9_L001_R1_001.fastq.gz	16S_ON_B61	ONKB1-AP-3H	117	ON	Kinburn	Apple	Hive	N/A	19-May	3	23.75
C62	N/A	N/A	C62_9_L001_R1_001.fastq.gz	16S_ON_B62	ONWF2-AP-1H	118	ON	Vineland Warner Farms	Apple	Hive	N/A	13-May	1	48.97
C63	N/A	N/A	C63_9_L001_R1_001.fastq.gz	16S_ON_B63	ONWF2-AP-2H	119	ON	Vineland Warner Farms	Apple	Hive	N/A	13-May	2	32.33
C64	N/A	N/A	C64_9_L001_R1_001.fastq.gz	16S_ON_B64	ONWF2-AP-3H	120	ON	Vineland Warner Farms	Apple	Hive	N/A	13-May	3	84.93
C65	N/A	N/A	C65_9_L001_R1_001.fastq.gz	16S_ON_B65	ONKB1-AP-1P	121	ON	Kinburn	Apple	Pollen	N/A	19-May	1	149.12
C66	N/A	N/A	C66_9_L001_R1_001.fastq.gz	16S_ON_B66	ONKB1-AP-2P	122	ON	Kinburn	Apple	Pollen	N/A	19-May	2	35.02
C67	N/A	N/A	C67_9_L001_R1_001.fastq.gz	16S_ON_B67	ONKB1-AP-3P	123	ON	Kinburn	Apple	Pollen	N/A	19-May	3	28.01
C68	N/A	N/A	C68_9_L001_R1_001.fastq.gz	16S_ON_B68	ONKB1-AP-1B	124	ON	Kinburn	Apple	Bread	N/A	19-May	1	75.74
C69	N/A	N/A	C69_9_L001_R1_001.fastq.gz	16S_ON_B69	ONKB1-AP-2B	125	ON	Kinburn	Apple	Bread	N/A	19-May	2	42.59
C70	N/A	N/A	C70_9_L001_R1_001.fastq.gz	16S_ON_B70	ONKB1-AP-3B	126	ON	Kinburn	Apple	Bread	N/A	19-May	3	90.28
C71	N/A	N/A	C71_9_L001_R1_001.fastq.gz	16S_ON_B71	ON-Ecoli-CNTRL	127	ON	Control	Kit	Kit	N/A	N/A	Lot Number 2108062	N/A
D01	N/A	N/A	D01_9_L001_R1_001.fastq.gz	16S_Can_1	IRIA21_Pollen-1	128	AB	Halcourt	Canola	Pollen	N/A	28-Jul-20	Pollen Trap on 1 colony - Unsorted	32.6
D02	N/A	N/A	D02_9_L001_R1_001.fastq.gz	16S_Can_2	IRIA21_Pollen-2	129	AB	Halcourt	Canola	Pollen	N/A	31-Jul-20	Pollen Trap on 1 colony - Unsorted	20.6
D03	N/A	N/A	D03_9_L001_R1_001.fastq.gz	16S_Can_3	IRIA21_Pollen-3	130	AB	Halcourt	Canola	Pollen	N/A	7-Aug-20	Pollen Trap on 1 colony - Unsorted	24.3
D04	N/A	N/A	D04_9_L001_R1_001.fastq.gz	16S_Can_4	IRIA21_Pollen-4	131	AB	Halcourt	Canola	Pollen 	N/A	7-Aug-20	Pollen Trap on 1 colony - Sorted; -20 C Storage	38.1
D05	N/A	N/A	D05_9_L001_R1_001.fastq.gz	16S_Can_5	IRIA21_Pollen-5	132	AB	Halcourt	Canola	Pollen	N/A	31-Jul-20	Pollen Trap on 1 colony - Unsorted	14.1
D06	N/A	N/A	D06_9_L001_R1_001.fastq.gz	16S_Can_6	IRIA21_PF -1	133	AB	Halcourt	Canola	Pollen Foragers	N/A	28-Jul-20	From 3 colonies.  Foragers w/ canola pollen.	44
D07	N/A	N/A	D07_9_L001_R1_001.fastq.gz	16S_Can_7	IRIA21_Br-1	134	AB	Halcourt	Canola	Bee Bread	N/A	31-Jul-20	Collected from 3 colonies.	7.8
D08	N/A	N/A	D08_9_L001_R1_001.fastq.gz	16S_Can_8	IRIA21_Br-2	135	AB	Halcourt	Canola	Bee Bread	N/A	31-Jul-20	Collected from 3 colonies.	9.3
D09	N/A	N/A	D09_9_L001_R1_001.fastq.gz	16S_Can_9	IRIA21_Flowers-1	136	AB	Halcourt	Canola	Canola Inflorescence	N/A	7-Aug-20	Collected from unique plant	32.3
D10	N/A	N/A	D10_9_L001_R1_001.fastq.gz	16S_Can_10	IRIA21_Flowers-2	137	AB	Halcourt	Canola	Canola Inflorescence	N/A	7-Aug-20	Collected from unique plant	19.4
D11	N/A	N/A	D11_9_L001_R1_001.fastq.gz	16S_Can_11	IRIA21_Flowers-3	138	AB	Halcourt	Canola	Canola Inflorescence	N/A	7-Aug-20	Collected from unique plant	79.7
D12	N/A	N/A	D12_9_L001_R1_001.fastq.gz	16S_Can_12	IRIA21_Flowers-4	139	AB	Halcourt	Canola	Canola Inflorescence	N/A	7-Aug-20	Collected from unique plant	67.4
D13	N/A	N/A	D13_9_L001_R1_001.fastq.gz	16S_Can_13	IRIA21_Flowers-5	140	AB	Halcourt	Canola	Canola Inflorescence	N/A	7-Aug-20	Collected from unique plant	49.1
D14	N/A	N/A	D14_9_L001_R1_001.fastq.gz	16S_Can_14	IRIA21_Flowers-6	141	AB	Halcourt	Canola	Canola Inflorescence	N/A	7-Aug-20	Collected from unique plant	53.9
D15	N/A	N/A	D15_9_L001_R1_001.fastq.gz	16S_Can_15	IRIA21_Flowers-7	142	AB	Halcourt	Canola	Canola Inflorescence	N/A	7-Aug-20	Collected from unique plant	12.6
D16	N/A	N/A	D16_9_L001_R1_001.fastq.gz	16S_Can_16	IRIA21_Flowers-8	143	AB	Halcourt	Canola	Canola Inflorescence	N/A	7-Aug-20	Collected from unique plant	47
D17	N/A	N/A	D17_9_L001_R1_001.fastq.gz	16S_Can_17	IRIA21_Flowers-9	144	AB	Halcourt	Canola	Canola Inflorescence	N/A	7-Aug-20	Collected from unique plant	45.9
D18	N/A	N/A	D18_9_L001_R1_001.fastq.gz	16S_Can_18	IRIA21_Flowers-10	145	AB	Halcourt	Canola	Canola Inflorescence	N/A	7-Aug-20	Collected from unique plant	20.7
D19	N/A	N/A	D19_9_L001_R1_001.fastq.gz	16S_Can_19	IRIA21_Leaves-1	146	AB	Halcourt	Canola	Canola Leaves	N/A	7-Aug-20	Collected from unique plant	10.3
D20	N/A	N/A	D20_9_L001_R1_001.fastq.gz	16S_Can_20	IRIA21_Leaves-2	147	AB	Halcourt	Canola	Canola Leaves	N/A	7-Aug-20	Collected from unique plant	20.6
D21	N/A	N/A	D21_9_L001_R1_001.fastq.gz	16S_Can_21	IRIA21_Leaves-3	148	AB	Halcourt	Canola	Canola Leaves	N/A	7-Aug-20	Collected from unique plant	12.9
D22	N/A	N/A	D22_9_L001_R1_001.fastq.gz	16S_Can_22	IRIA21_Leaves-4	149	AB	Halcourt	Canola	Canola Leaves	N/A	7-Aug-20	Collected from unique plant	10.5
D23	N/A	N/A	D23_9_L001_R1_001.fastq.gz	16S_Can_23	IRIA21_Leaves-5	150	AB	Halcourt	Canola	Canola Leaves	N/A	7-Aug-20	Collected from unique plant	49.1
D24	N/A	N/A	D24_9_L001_R1_001.fastq.gz	16S_Can_24	IRIA21_Leaves-6	151	AB	Halcourt	Canola	Canola Leaves	N/A	7-Aug-20	Collected from unique plant	24.7
D25	N/A	N/A	D25_9_L001_R1_001.fastq.gz	16S_Can_25	IRIA21_Leaves-7	152	AB	Halcourt	Canola	Canola Leaves	N/A	7-Aug-20	Collected from unique plant	13.9
D26	N/A	N/A	D26_9_L001_R1_001.fastq.gz	16S_Can_26	IRIA21_Leaves-8	153	AB	Halcourt	Canola	Canola Leaves	N/A	7-Aug-20	Collected from unique plant	33.3
D27	N/A	N/A	D27_9_L001_R1_001.fastq.gz	16S_Can_27	IRIA21_Leaves-9	154	AB	Halcourt	Canola	Canola Leaves	N/A	7-Aug-20	Collected from unique plant	26.9
D28	N/A	N/A	D28_9_L001_R1_001.fastq.gz	16S_Can_28	IRIA21_Leaves-10	155	AB	Halcourt	Canola	Canola Leaves	N/A	7-Aug-20	Collected from unique plant	15
D29	N/A	N/A	D29_9_L001_R1_001.fastq.gz	16S_Can_29	IRIA21_Bees-1	156	AB	Halcourt	Canola	Bees	N/A	N/A	N/A	34.3
D30	N/A	N/A	D30_9_L001_R1_001.fastq.gz	16S_Can_30	IRIA21_Bees-2	157	AB	Halcourt	Canola	Bees	N/A	N/A	N/A	36.2
D31	N/A	N/A	D31_9_L001_R1_001.fastq.gz	16S_Can_31	IRIA21_Bees-3	158	AB	Halcourt	Canola	Bees	N/A	N/A	N/A	35.6
